adv,adj,sent_id,adv_index,sent_text
so,gloomy,nyt_eng_19940721_0429_15,7,"And Microsoft 's mood was n't so gloomy that it could n't show off a few toys in its arsenal of upcoming  -LBQ-  pretty cool stuff ,  -RDQ-  as Chairman Bill Gates phrased it ."
really,nervous,nyt_eng_19940721_0417_12,4,"I was n't really nervous , but there were a lot of holes where I had to hit driver-driver and the other girls were hitting driver 6-iron .  -RDQ-"
half,bad,nyt_eng_19940721_0415_4,8,"Actually , this crow feijoada is n't half bad once you get past the feathers ."
that,hard,nyt_eng_19940721_0372_12,4,It was n't that hard .  -RDQ-
yet,sure,nyt_eng_19940721_0347_4,31,"Arthuro Hein , a U.N. aid coordinator in Nairobi , Kenya , said the causes of death were either cholera , or diarrhea  -LBQ-  or another disease we are not yet sure about .  -RDQ-"
as,deep,nyt_eng_19940721_0302_29,5,We may not be as deep but we fully expect to be as good .  -RDQ-
as,stringent,nyt_eng_19940721_0269_26,23,"The only other state with statewide regulations is Vermont , but its rules , which took effect last year , are not as stringent as those in California and Maryland ."
terribly,long,nyt_eng_19940721_0258_7,5,"The movie 's not terribly long , but even so it 's tiring ."
immediately,clear,nyt_eng_19940721_0242_42,4,"It was not immediately clear why Izebegovic had chosen to change his government 's stance even before foreign ministers from the  -LBQ-  contact group ,  -RDQ-  who are expected to meet on July 30 , have decided what action to take next ."
yet,sure,nyt_eng_19940721_0242_17,19,"said the causes of death were either cholera , or diarrhea  -LBQ-  or another disease we are not yet sure about .  -RDQ-"
that,different,nyt_eng_19940721_0225_10,5,-LBQ-  It 's not that different from a regular concert because half of our audience is music industry people anyway .  -RDQ-
too,stressful,nyt_eng_19940721_0225_4,10,It 's a good pressure situation that 's not TOO stressful .  -RDQ-
only,legal,nyt_eng_19940721_0206_20,29,"He said he will argue that  -LBQ-  for the most part ,  -RDQ-  the contacts from federal agencies to the White House regarding the federal investigations were not only legal but  -LBQ-  perfectly appropriate .  -RDQ-"
as,advanced,nyt_eng_19940721_0195_16,10,"-LBQ-  We recognize that our manufacturing techniques are not as advanced as other countries ' ,  -RDQ-  Lin Gengyuan , vice president and chief engineer , said during an interview at Xian Aircraft 's headquarters in Yan Liang , 25 miles outside the city of Xian in northcentral China ."
as,dire,nyt_eng_19940721_0179_2,13,"In  -LBQ-  Ciao , Professore !  -RDQ-  the circumstances are n't quite as dire and the mood is lighter and more whimsical -- but adapting to difficult circumstance is still the name of Wertmuller 's game ."
so,messy,nyt_eng_19940721_0129_21,15,"Kids think they 're a kick , and adults find they 're not quite so messy as traditional ice cream ."
only,good,nyt_eng_19940721_0129_19,4,"They 're not only good , they 're fun ."
quite,sure,nyt_eng_19940721_0129_2,22,"Young and old are crowded two - and three-deep around Tyler 's Dippin ' Dots cart , although some are n't quite sure what she 's selling ."
perfectly,altruistic,nyt_eng_19940721_0114_42,15,"-LBQ-  You may wish you could help everybody , but you ca n't be perfectly altruistic ,  -RDQ-  Wilson says ."
particularly,easy,nyt_eng_19940721_0112_21,6,"-LBQ-  These tools are not particularly easy to use ,  -RDQ-  said Moursand ."
as,easy,nyt_eng_19940721_0106_6,18,"While Microsoft Windows 3.1 greatly simplifies an IBM-compatible 's MS-DOS operating system , it is still not as easy to use as Macintosh 's System 7 Pro software , the operating system for Apple computers ."
very,encouraging,nyt_eng_19940721_0104_21,12,-LBQ-  But this -LRB- the new poll -RRB- ca n't be very encouraging .
only,unremarked,nyt_eng_19940721_0088_14,4,"This is not only unremarked upon in the film , it is pointedly ignored ."
that,bad,nyt_eng_19940721_0087_2,13,"But all things considered , life in basketball exile is not all that bad for Joey Wright ."
always,successful,nyt_eng_19940721_0085_26,7,"Hall said defensive moves are n't always successful , but  -LBQ-  they will improve your chances to survive .  -RDQ-"
as,bankrupt,nyt_eng_19940721_0079_21,9,"Still , Lena 's credibility is n't nearly as bankrupt as this movie 's ; there is simply no way any of this flies farther than a paper airplane made of transparent tissue , because nothing in the script , the characters or the situation is remotely believable ."
as,strong,nyt_eng_19940721_0058_27,14,That led some analysts to say the younger Kim 's position is not as strong as it seems .
so,bad,nyt_eng_19940721_0008_16,5,"But Bakersfield is n't so bad , not if you like minor-league baseball , not if you are 20 years old and scratching out a living playing it ."
as,trivial,nyt_eng_19940720_0362_6,10,"Siglar said Wednesday that the error was  -LBQ-  not as trivial  -RDQ-  as a mere labeling mix-up , but declined further comment ."
so,quick,nyt_eng_19940720_0348_39,5,But others are not so quick to disregard vitamins .
so,much,nyt_eng_19940720_0327_18,4,It 's not so much worrying about the Dodgers now .
as,good,nyt_eng_19940720_0318_28,6,-LBQ-  My game was n't as good as it was .
always,sympathetic,nyt_eng_19940720_0294_28,10,"Employees of small businesses , however , are not always sympathetic to such attitudes ."
absolutely,insistent,nyt_eng_19940720_0288_23,9,"And while he said the administration was not absolutely insistent on requiring employers to help pay for insurance as the route to universal coverage , that was  -LBQ-  sure the easiset way to do it .  -RDQ-"
absolutely,necessary,nyt_eng_19940720_0282_20,17,"-LBQ-  We retain the right to refuse planes that will be transporting materials that are not absolutely necessary ,  -RDQ-  he said ."
as,sweeping,nyt_eng_19940720_0254_37,9,But the Portland judge 's ruling was not as sweeping as that of the Canadian panel .
nearly,enough,nyt_eng_19940720_0228_4,9,"Though the amount of material seized is not nearly enough to make a bomb , German police believe that it is the first weapons-grade material from the former Soviet Union to have been seized outside former Soviet borders ."
too,deep,nyt_eng_19940720_0217_10,32,"It is possible to engrave new initials on a previously engraved baby cup -- if it 's sterling , if it 's sufficiently thick and if the erroneous engraving is n't too deep -- but even if it 's only the last initial that has to change , all the letters in the first monogram must be buffed flat first ."
only,rewarding,nyt_eng_19940720_0204_72,24,"-LBQ-  Communities that actively seek to maintain the drive-in as a part of their culture and geography will find that it is not only rewarding financially , but helps to maintain a part of our collective past that is important and relevant .  -RDQ-"
as,much,nyt_eng_19940720_0196_20,23,"Gross margins fell slightly in the quarter to 26.6 percent from 27.1 percent in the first quarter , but that was not as much as Compaq executives and some analysts had estimated ."
that,good,nyt_eng_19940720_0187_55,35,"He spent $ 455 for his family , which includes his wife and five children , to see  -LBQ-  The Phantom of the Opera  -RDQ-  on Broadway  -LBQ-  and the seats were n't even that good ,  -RDQ-  he complained ."
necessarily,wise,nyt_eng_19940720_0175_16,25,"-LBQ-  A lot of people , when they 're calling , they 're just looking for the best price , and that 's not necessarily wise ,  -RDQ-  says Mary Foust , office manager at A&L Pest Control in Lenexa , Kan. . Make sure you 're satisfied with the warranty the company offers ; you should have a sense that the exterminator will stick with you until your pest problem is resolved , she said ."
so,bad,nyt_eng_19940720_0171_32,20,"I wanted desperately to console him , and so I said , rather stupidly , that it was n't so bad because nobody would notice it ."
so,crazy,nyt_eng_19940720_0165_32,9,It 's just the soccer I 'm not so crazy about .
very,comfortable,nyt_eng_19940720_0138_37,4,I 'm not very comfortable in life .  -RDQ-
really,comfortable,nyt_eng_19940720_0138_36,5,-LBQ-  I 'm not really comfortable unless I 'm working .
there,much,nyt_eng_19940720_0138_34,5,But he is not there much .
very,pleasant,nyt_eng_19940720_0138_25,20,"Barbet Schroeder , the director of the film , said ,  -LBQ-  Yes , of course it 's not very pleasant to go in that part of the human psyche .  -RDQ-"
angst,ridden,nyt_eng_19940720_0136_5,6,Something that 's not so angst ridden . '
yet,sufficient,nyt_eng_19940720_0095_15,8,"The restaurants , whose sales are not yet sufficient to render a profit , serve a rainbow of healthful juices , from a 1-ounce shot of wheatgrass for $ 1.50 to a 16-ounce glass of pineapple-pear-kiwi-banana juice for $ 2.95 ."
richly,detailed,nyt_eng_19940720_0089_15,4,"It is n't richly detailed , like  -LBQ-  The Firm ,  -RDQ-  and it moves by the protocols of made-for-TV movies ."
totally,warped,nyt_eng_19940720_0065_27,25,"Rejecting the notion that his youthful peers will be known for their prowess in video arcades , he said ,  -LBQ-  We 're not totally warped .  -RDQ-"
so,sure,nyt_eng_19940720_0055_53,31,"Closer to the demarcation line , where residents have witnessed North Korean attempts to infiltrate the South by various means , including rubber boats and tunnels , people are n't so sure ."
as,expensive,nyt_eng_19940720_0036_42,6,"So plants would n't be as expensive to build , maintain , operate or shut down ."
that,difficult,nyt_eng_19940720_0025_7,13,"-LBQ-  It told us , ` Hey , this game is n't that difficult ."
so,effective,nyt_eng_19940720_0012_16,4,Abbott was not so effective .
fundamentally,sound,nyt_eng_19940720_0012_6,6,Every game can not be fundamentally sound .
that,bad,nyt_eng_19940720_0008_44,17,"-LBQ-  I 've only given up five homers this year , which to me is n't that bad ."
structurally,unsound,nyt_eng_19940720_0006_23,6,"The concrete shell is not structurally unsound , but it 's far from being watertight .  -RDQ-"
very,loud,nyt_eng_19940720_0005_9,4,It 's not very loud in there .
quite,ready,nyt_eng_19940719_0382_15,14,"But his disappearance , Spoor said , indicated that Hogue  -LBQ-  was not quite ready for release .  -RDQ-"
always,easy,nyt_eng_19940719_0369_18,34,"With models laden with furs and other accessories , the soundtrack blasting through the room and a feeling of hysteria strong in the audience as people sense something new , it is not always easy to sort things out ."
so,enthusiastic,nyt_eng_19940719_0308_24,10,The owners and operators of the terminal are not so enthusiastic about its layout .
as,effective,nyt_eng_19940719_0285_42,26,And one television industry executive with long ties to Tisch said that the public attempt to soothe the internal concerns at CBS might not be as effective as Tisch would like .
as,good,nyt_eng_19940719_0266_25,6,"Certainly the view is n't as good , but the best part of life is internal .  -RDQ-"
much,worried,nyt_eng_19940719_0265_17,7,"Government officials say they are not much worried about a military threat because the army has encircled the rebels ' mountain hideout , effectively keeping out arm shipments and recruits ."
as,open,nyt_eng_19940719_0239_17,11,"That may be in part because Japanese markets are not as open as they should be , so even cheaper U.S. exports can not penetrate in high enough volumes to affect the deficit ."
so,idealistic,nyt_eng_19940719_0222_47,4,Ladd is not so idealistic .
even,different,nyt_eng_19940719_0192_15,10,"The screen story is n't particularly better , or even different , but screenwriters Akiva Goldsman and Robert Getchell wisely have skipped lots of the dull details and focused instead on the relationship between Reggie and Mark , which pays off in a way that Grisham 's book never does ."
just,alone,nyt_eng_19940719_0155_5,4,"People are n't just alone but lonely , a tone that began creeping in as traditional relationships and a sense of community in America began to break down .  -RDQ-"
that,loyal,nyt_eng_19940719_0148_9,5,People are usually not that loyal for so long .  -RDQ-
so,much,nyt_eng_19940719_0143_24,30,"His combative scenes with Ms. Sarandon are particularly charged , since there is the flirty suggestion that Roy might actually be interested in Reggie if he was not already so much in love with Roy ."
that,important,nyt_eng_19940719_0133_36,15,"As a result , the brain muscles we once had to have are not that important anymore ."
fully,aware,nyt_eng_19940719_0119_12,9,Clinton and his advisers may not have been fully aware of the implications of his strong embrace of the Germans .
only,cumbersome,nyt_eng_19940719_0084_16,31,"DeGeneres said the first title  -LBQ-  sucked ,  -RDQ-  while co-creator and executive producer David Rosenthal offered a gentler explanation  -COL-   -LBQ-  ` These Friends of Mine ' is not only cumbersome but just kind of vague -LRB- and -RRB- tough to grab on to what it is that you 're going to be watching .  -RDQ-"
so,gradual,nyt_eng_19940719_0049_26,17,"But here we are , in 1994 , and the gradual movement toward change is not so gradual anymore ."
quite,right,nyt_eng_19940719_0028_22,16,"The thing is , Darryl 's in shape , but baseball-wise , he 's not quite right .  -RDQ-"
as,busy,nyt_eng_19940718_0471_24,5,"-LBQ-  It was n't as busy as we would have liked , and I 'd prefer to just leave it at that and move on ,  -RDQ-  McCool said ."
as,great,nyt_eng_19940718_0471_8,14,"-LBQ-  We got a good set of encyclopedias , but they were not as great as we thought they would be .  -RDQ-"
even,sure,nyt_eng_19940718_0465_26,5,"-LBQ-  I was n't even sure I was going to continue ,  -RDQ-  he said ."
as,ignorant,nyt_eng_19940718_0436_22,5,"-LBQ-  People are n't as ignorant as the CSPI thinks ,  -RDQ-  Kelley said ."
as,close,nyt_eng_19940718_0432_5,5,The vote was n't as close this year .
yet,clear,nyt_eng_19940718_0409_13,6,"She said it was not yet clear whether this represented a sharp rise in the rate of attempts at fraud , improved detection or some combination of both factors ."
so,obvious,nyt_eng_19940718_0393_4,11,There probably would have been more if it was n't so obvious I was being followed .  -RDQ-
so,acute,nyt_eng_19940718_0382_38,15,"-LBQ-  In the city , the difference between being old and young is not so acute ."
yet,unlawful,nyt_eng_19940718_0378_31,4,It is not yet unlawful to kill Martians .
as,sympathetic,nyt_eng_19940718_0351_29,6,Mayor Rudolph Guiliani is n't as sympathetic as former mayor David Dinkins .
so,bad,nyt_eng_19940718_0321_11,12,"-LBQ-  There is now a relaxed feeling that things are n't so bad after all , and that is important for the established power ,  -RDQ-  said Marcio Moreira Alves , a political columnist , referring to Fernando Henrique Cardoso , the centrist candidate backed by Franco ."
too,crowded,nyt_eng_19940718_0314_54,25,"At the Fiesta Drive-in , Light lets his customers park sideways and throw open their doors , van style , if it 's not too crowded ."
real,sure,nyt_eng_19940718_0310_5,9,"-LBQ-  When we won , I was n't real sure I was going to get the money ,  -RDQ-  Trevino said ."
exactly,dead,nyt_eng_19940718_0302_18,4,Soccer is not exactly dead in America .
as,low-keyed,nyt_eng_19940718_0290_2,6,"His entrance was not quite as low-keyed this time , but the show itself was modestly presented Sunday night ."
so,much,nyt_eng_19940718_0288_5,5,"The debate is not so much over whether DNA testing is scientifically acceptable ,  -LBQ-  but rather whether the probability inferences you can draw from scientific testimony are generally accepted ,  -RDQ-  said Jerome Skolnick of the Boalt Hall School of Law at the University of California-Berkeley ."
just,malfunctioning,nyt_eng_19940718_0280_32,19,She has endured three laser surgeries to keep her airway open and doctors discovered her thyroid was n't just malfunctioning -- she does n't have one .
as,severe,nyt_eng_19940718_0279_28,33,"Like Tiwanaku 's engineers , those who draw up California 's water-management plans do so on the basis of what are believed to be normal droughts but in fact are not nearly as severe as what has occurred in the past and can occur again , said Stine ."
as,vocal,nyt_eng_19940718_0143_56,18,"The business lobby , not too worried by modest missed chances in Cuba , is not nearly as vocal as it was on China or Vietnam ."
particularly,robust,nyt_eng_19940718_0142_7,11,"On closer inspection , the new pro-abortion laws are not particularly robust ."
as,simple,nyt_eng_19940718_0142_6,6,But it is not quite as simple as that .
merely,pointless,nyt_eng_19940718_0139_3,9,"Again as before , these fluctuations are not merely pointless  -COL-  they work against the adjustments that most governments would like to see in the global economy ."
that,high,nyt_eng_19940718_0138_22,11,"The scientific value of studies of weightlessness can not be that high , either ."
so,boring,nyt_eng_19940718_0055_11,30,"I think I finally have them interested in the scenery until our 7-year-old sighs and says ,  -LBQ-  I wish we had a mini-TV so it would n't be so boring .  -RDQ-"
terribly,demanding,nyt_eng_19940718_0053_13,8,"Nonetheless , if your needs are not terribly demanding , this is a handy program to have ."
terribly,functional,nyt_eng_19940718_0053_6,5,The mouse is not terribly functional in this program .
swaddlingly,comfortable,nyt_eng_19940718_0048_15,6,"The front seats are n't swaddlingly comfortable , but are easily adjusted through a wide range of positions ."
immediately,clear,nyt_eng_19940717_0226_18,9,The financial effect of the settlement is n't immediately clear .
that,serious,nyt_eng_19940717_0198_16,7,"-LBQ-  I hope it 's not that serious ,  -RDQ-  Claire said ."
so,easy,nyt_eng_19940717_0183_7,23,"The Missouri Democrat , who has spent 18 of his 53 years in the House , added  -COL-   -LBQ-  It is n't so easy and it ca n't be so easy ."
so,easy,nyt_eng_19940717_0183_7,30,"The Missouri Democrat , who has spent 18 of his 53 years in the House , added  -COL-   -LBQ-  It is n't so easy and it ca n't be so easy ."
necessarily,smart,nyt_eng_19940717_0175_31,12,"-LBQ-  People who want to help you -- it 's not necessarily smart to spit in their face ,  -RDQ-  he said ."
quite,over,nyt_eng_19940717_0105_1,8,This year 's awards season is n't quite over yet .
as,low,nyt_eng_19940717_0104_17,32,"Park , of the Center for North Korean Economic Studies , said that North Korea might also have trouble attracting foreign companies because its wages , while low , are not as low as those in China and Vietnam ."
vastly,different,nyt_eng_19940717_0101_24,7,"-LBQ-  The numbers wo n't be vastly different from the 50,000 total troops , with the U.S. contributing 20,000 to 25,000 , but that all depends on the final details ,  -RDQ-  one administration official said ."
as,enthusiastic,nyt_eng_19940717_0086_50,6,-LBQ-  My wife is not as enthusiastic as I am .
economically,feasible,nyt_eng_19940717_0086_43,13,"Durians can be harvested on plantations , but it is not always economically feasible ."
so,entertaining,nyt_eng_19940717_0076_11,22,"The last work in the trilogy ,  -LBQ-  Invented Voices  -COL-  Inspired Dialogue for Writers and Readers ,  -RDQ-  is not so entertaining or provocative as its predecessors ."
yet,available,nyt_eng_19940717_0062_32,9,"Figures for the 1994 tax year are not yet available , because they are adjusted for inflation at the end of the year ."
as,colorful,nyt_eng_19940717_0033_4,6,The speeches wo n't be as colorful as the campaign-style hoopla that is coming up -- bus caravans for the Democrats and an hour of prime-time TV shows purchased by independent businessman Ross Perot for use by the GOP .
that,big,nyt_eng_19940717_0009_8,5,Today it was n't that big because it was the third-place match .
as,good,nyt_eng_19940717_0002_19,6,-LBQ-  And it 's not as good as it 's going to be .
as,bad,nyt_eng_19940716_0200_22,7,"-LBQ-  Well , it 's not as bad as the rest of her game ,  -RDQ-  he replied ."
so,funny,nyt_eng_19940716_0191_34,18,"And the joke about CART standing for  -LBQ-  Carl 's and Roger 's teams  -RDQ-  is n't so funny if you have to buy either your chassis or engine or both from Carl Haas and Roger Penske , who then go out and beat you ."
so,quick,nyt_eng_19940716_0188_51,7,Maybe then they would n't be so quick to invest in a tragedy .
even,sure,nyt_eng_19940716_0177_7,16,"Yet with only a scant history to fall back on , many people are n't even sure of the questions they should be asking before selecting a broker or how to recognize honesty from sleaze ."
yet,final,nyt_eng_19940716_0167_58,8,"Although Ivanov said the figures are not yet final , it does seem that Macedonia has a problem common to the former Yugoslav lands  -COL-  a vast number of people in this very small and vulnerable state have disappeared in the past three years ."
all,bad,nyt_eng_19940716_0149_5,5,But this is not all bad .
properly,refrigerated,nyt_eng_19940716_0138_18,10,Vaccine may lose its potency if it is not properly refrigerated .
really,equipped,nyt_eng_19940716_0134_35,5,"-LBQ-  Television is not really equipped to advance the debate ,  -RDQ-  he said ."
so,high,nyt_eng_19940716_0128_8,17,"Kim 's prospects , character and personal habits would hardly matter if the stakes were not so high for both Asia and the world ."
so,lucky,nyt_eng_19940716_0121_5,16,"Many others in Mandalay , the country 's second largest city , are not nearly so lucky ."
very,subtle,nyt_eng_19940716_0117_61,5,"-LBQ-  It was n't very subtle ,  -RDQ-  said a Western diplomat based here ."
so,high,nyt_eng_19940716_0116_3,35,How did a visit to a show by two arts-loving suburbanites evolve into a crisis imperiling the National Endowment for the Arts ? The story would be a farce if the stakes were n't so high -- and if the threat to the NEA were not another example of how the religious right poisons the civic atmosphere .
as,deep,nyt_eng_19940716_0112_28,7,"This team will not be nearly as deep , and that will definitely hurt them at some point ."
so,sure,nyt_eng_19940716_0111_22,15,But are these changes enough ? Leaders of women 's groups here are not so sure as they tote up their gains and losses from the period resistance against Israel .
so,big,nyt_eng_19940716_0106_62,13,"Buck Showalter , the Yankees ' manager , whose foot is not so big that he ca n't get it into his mouth , defends his views of Ken Griffey Jr. and Barry Bonds that appeared in The New York Times Magazine last Sunday by saying he made the comments off the record and they should not have been used in the article ."
that,petty,nyt_eng_19940716_0106_37,4,I 'm not that petty .
as,lucky,nyt_eng_19940716_0082_14,7,Many of her neighbors are n't as lucky .
quite,ready,nyt_eng_19940716_0081_9,6,The final product is n't quite ready yet -- stay tuned for more when it is -- but guests at the party got to check out bits and pieces at state-of-the art computer setups scattered around the academy lobby .
fully,reusable,nyt_eng_19940716_0074_8,9,"But the space shuttles eventually developed were not fully reusable and have never lived up to extravagant forecasts that they would be flying 40 or 50 missions a year by the 1990s , instead of the current rate of seven or eight ."
that,committed,nyt_eng_19940716_0052_18,17,I told her that keeping the clothes left open the possibility that she was n't all that committed to staying slim .
as,capable,nyt_eng_19940716_0034_15,4,I 'm not as capable as he is ; so I should n't even try .
yet,able,nyt_eng_19940716_0032_71,7,"-LBQ-  We in Brazil are not yet able to recognize the honest work done by Parreira ,  -RDQ-  Brazilian forward Romario said ."
too,bad,nyt_eng_19940716_0030_38,10,"The way I am playing , it 's not too bad for a 44-year-old has-been .  -RDQ-"
so,good,nyt_eng_19940716_0004_18,5,"-LBQ-  It is not so good ,  -RDQ-  Dahlin said Friday ."
always,certain,nyt_eng_19940716_0003_32,17,"Though he has started every game for Brazil in this World Cup , Taffarel was n't always certain to start ."
as,strong,nyt_eng_19940715_0322_14,29,"But Friday 's biggest shock was in semiconductor stocks , which fell sharply after an executive at Texas Instruments suggested that demand for computer chips might not be as strong in the second half of the year as it was in the first ."
totally,unexpected,nyt_eng_19940715_0309_2,6,Keenan 's departure was not totally unexpected because of persistent differences with General Manager Neil Smith during the second half of the season and the playoffs .
so,sure,nyt_eng_19940715_0297_15,5,Some scientists are not so sure .
all,bad,nyt_eng_19940715_0255_25,31,Diaz remains so controversial that an attempt in 1992 to rewrite public school history books turned into a fiasco in part because the authors suggested that perhaps he was not all bad .
as,safe,nyt_eng_19940715_0232_11,31,"Don Garland , spokesman for the Noble Planetarium at the Fort Worth Museum of Science and History , said the Jupiter collision  -LBQ-  makes us more aware we are not as safe as we once thought we were .  -RDQ-"
as,high-key,nyt_eng_19940715_0193_9,5,The opposition is n't as high-key or as well-orchestrated as the coalition that nearly foiled last year 's North American Free Trade Agreement .
so,sure,nyt_eng_19940715_0160_9,12,Hard-bitten Angels manager George Knox -LRB- Danny Glover -RRB- is n't so sure about this angels stuff .
that,funny,nyt_eng_19940715_0050_3,60,"The 1977 book ,  -LBQ-  Wit 's End  -RDQ-  -LRB- Harcourt Brace Jovanovich ; now out of print -RRB- by James R. Gaines , managing editor of Time magazine , and a movie planned for fall release ,  -LBQ-  Mrs. Parker ,  -RDQ-  about Dorothy Parker and Robert Benchley , contend that the Round Table really was n't all that funny ."
exclusively,run-and,nyt_eng_19940715_0043_20,15,"But just as significant , Carlson will lead an offense that wo n't be exclusively run-and - shoot for the first time in five years ."
especially,big,nyt_eng_19940714_0464_15,14,"At 5 feet 8 -LCB- inches and 185 pounds , Glenn is not especially big ."
yet,perfect,nyt_eng_19940714_0462_12,17,"Favre , with his strong arm , may have great promise , but he is not yet perfect ."
so,poor,nyt_eng_19940714_0458_14,23,"-LBQ-  I represent the vast majority of the people who are in the middle being squeezed , the ones who are not so poor that they 're on welfare , and not so wealthy as to be worry free ."
so,complicated,nyt_eng_19940714_0451_1,8,"-LBQ-  The city , it is not so complicated ,  -RDQ-  said Macsuara ."
as,high,nyt_eng_19940714_0436_30,9,-LBQ-  Speed in New York should n't be as high as in other cities because of the congestion and volume of traffic .  -RDQ-
as,significant,nyt_eng_19940714_0428_6,5,"-LBQ-  It was not as significant as we thought , but it was better than we would have done without them ,  -RDQ-  said Therese M. Lewis , director of sales at the 296-room Meadowlands Hilton ."
as,visible,nyt_eng_19940714_0419_41,12,Some members noted that Laurel and Hardy 's films were n't as visible on television these days as they were in the 1960s .
so,generous,nyt_eng_19940714_0414_24,24,"Those bonds had been trading at just 66.5 cents , representing an expectation that the terms of the merger deal would not be so generous ."
that,sound,nyt_eng_19940714_0411_18,9,"Truth to tell , it was n't all that sound , technically speaking , back when the other pieces of his game were untouchable , when he seemed to win everything that counted ."
so,difficult,nyt_eng_19940714_0403_19,15,"-LBQ-  You just need to hole out the odd 2-iron and it 's not so difficult ,  -RDQ-  he said ."
very,clever,nyt_eng_19940714_0403_14,13,"-LBQ-  Yes ,  -RDQ-  Faldo said stiffly ,  -LBQ-  it 's not very clever .  -RDQ-"
as,black,nyt_eng_19940714_0382_29,6,"The case is not nearly as black and white as many of Ms. Johns ' callers seem to believe , however ."
too,early,nyt_eng_19940714_0371_15,6,"However , it was not too early to begin the bilingual smoke-blowing , three days before the match between two three-time champions ."
yet,clear,nyt_eng_19940714_0332_7,7,She also said it was not yet clear how the state welfare program would have to be changed .
as,casual,nyt_eng_19940714_0304_45,11,Dressing-down at American Express and Chase Manhattan may not be as casual as the word  -LBQ-  casual  -RDQ-  usually means .
just,nice,nyt_eng_19940714_0276_5,6,"It 's not spectacular , just nice ."
exactly,paumonok,nyt_eng_19940714_0274_7,5,"Long Island is n't exactly Paumonok anymore , the Indians ' beach-rimmed woodland in the shape of a fish , and I do n't think residents of Nassau County or even western Suffolk should be surprised or offended to learn that for the cyclist , their home terrain is no velodrome ."
sufficiently,advanced,nyt_eng_19940714_0257_59,6,"-LBQ-  Since we are not sufficiently advanced in our thinking , we are"
so,sure,nyt_eng_19940714_0257_15,6,"San Francisco , is n't so sure ."
as,good,nyt_eng_19940714_0234_32,6,"An ongoing issue is not as good as a record of achievement , but it is worth something ."
particularly,attractive,nyt_eng_19940714_0215_35,6,"Wet 'n Wild is not particularly attractive , lacking the elaborate landscaping and floral displays of some other parks ; it tends toward utilitarian greenery and too much pavement ."
so,much,nyt_eng_19940714_0211_20,6,"-LBQ-  This test is not so much to weed out bad drivers as it is to re-emphasize to the first-time driver all the skills it takes to drive safely ,  -RDQ-  Nossoff said ."
so,adroit,nyt_eng_19940714_0205_26,5,"She 's not quite so adroit with the spoken word , however ."
very,welcome,nyt_eng_19940714_0176_21,30,"He ca n't wait , for example , to get out of that silly desert commune -- whose peace-loving brotherhood of residents make it amply clear he 's not very welcome , anyway ."
so,glamorous,nyt_eng_19940714_0172_28,4,"It is n't so glamorous on the road , either ."
so,glamorous,nyt_eng_19940714_0172_27,9,"-LBQ-  So , the movie business is n't so glamorous after all .  -RDQ-"
as,compelling,nyt_eng_19940714_0170_9,7,"Unfortunately , it 's not quite as compelling as  -LBQ-  The Heidi Chronicles  -RDQ-  or -LRB- this reviewer 's personal favorite -RRB-  -LBQ-  Is n't It Romantic .  -RDQ-"
that,simple,nyt_eng_19940714_0163_37,5,But it 's not that simple .
exactly,innocent,nyt_eng_19940714_0131_23,22,"When Ray has to help her stand in the shower , the scene is not titillating , but it 's not exactly innocent or proper , either ."
so,arrogant,nyt_eng_19940714_0130_5,5,Surely he 's not so arrogant as to try to force another turkey -- an  -LBQ-  Action Hero II  -RDQ-  -- down our throats .
as,old,nyt_eng_19940714_0129_49,20,"In London , St. James Square dates to 1665 , and nearby , the Stafford Hotel is not nearly as old ."
too,difficult,nyt_eng_19940714_0127_18,32,"Keith Canton , former principal of South Kitsap High School , said two or three couples had protection orders in his school this year , but that the orders were not too difficult to oversee ."
economically,dependent,nyt_eng_19940714_0126_23,6,"While victims are usually not economically dependent on their abusers and are less likely to have children by them , experts say there are very strong influences that keep victims in a violent relationship ."
always,easy,nyt_eng_19940714_0122_18,7,"The story , which is not always easy to follow , unfolds in abrupt fits and starts ."
totally,candid,nyt_eng_19940714_0041_18,6,Slocum believes baseball is not totally candid with high school athletes about the odds of making it to the major leagues .
too,tall,nyt_eng_19940714_0016_27,16,"Romario emphasized that  -LBQ-  positioning is the most important thing , because we 're not too tall .  -RDQ-"
that,smart,nyt_eng_19940714_0009_22,5,He is not always that smart .  -RDQ-
too,late,nyt_eng_19940713_0475_73,4,It 's not too late .
as,successful,nyt_eng_19940713_0442_20,19,"The movie did not turn out the same way as maybe everybody was hoping , it was not as successful , the theme of the thing did not go over as well .  -RDQ-"
as,simple,nyt_eng_19940713_0430_6,5,It 's just not as simple as matching your bedspread with your roommate 's .
home,free,nyt_eng_19940713_0411_6,18,"-LBQ-  That 's a fair description of what 's going on , although we 're not entirely home free yet ,  -RDQ-  said one person close to the negotiations ."
actively,psychotic,nyt_eng_19940713_0407_33,5,"-LBQ-  He was not actively psychotic and , you know , had been in that sense doing well ."
highly,plausible,nyt_eng_19940713_0404_24,37,"And one senior entertainment industry executive , who spoke on condition of anonymity , said ,  -LBQ-  For CBS to say , ` We 're going to go back to our knitting , ' is not highly plausible .  -RDQ-"
highly,authentic,nyt_eng_19940713_0389_26,7,"This curry technique may not be highly authentic , but it does produce the same essential Thai flavors and textures as from-scratch recipes ."
