sentences,pos,scale_type
It was n't totally_m wet_p. It was not completely_m dry_p.,adj,abs
It was n't totally_m wet_p. It was not totally_m dry_p.,adj,abs
It was n't totally_m wet_p. It was not completely_m dry_p.,adj,abs
It was n't totally_m wet_p. It was not totally_m dry_p.,adj,abs
It was n't totally_m wet_p. It was not dry_p.,adj,abs
It was n't totally_m wet_p. It was n't extremely_m dry_p.,adj,abs
It was n't totally_m wet_p. It was n't ridiculously_m dry_p.,adj,abs
It was n't totally_m wet_p. It was n't completely_m dry_p.,adj,abs
It was n't totally_m wet_p. It was n't totally_m dry_p.,adj,abs
It was n't totally_m wet_p. It was n't completely_m dry_p.,adj,abs
It was n't totally_m wet_p. It was n't totally_m dry_p.,adj,abs
It was n't totally_m wet_p. It was n't dry_p.,adj,abs
It was n't completely_m wet_p. It was not extremely_m dry_p.,adj,abs
It was n't completely_m wet_p. It was not ridiculously_m dry_p.,adj,abs
It was n't completely_m wet_p. It was not completely_m dry_p.,adj,abs
It was n't completely_m wet_p. It was not totally_m dry_p.,adj,abs
It was n't completely_m wet_p. It was not completely_m dry_p.,adj,abs
It was n't completely_m wet_p. It was not totally_m dry_p.,adj,abs
It was n't completely_m wet_p. It was not dry_p.,adj,abs
It was n't completely_m wet_p. It was n't extremely_m dry_p.,adj,abs
It was n't completely_m wet_p. It was n't ridiculously_m dry_p.,adj,abs
It was n't completely_m wet_p. It was n't completely_m dry_p.,adj,abs
It was n't completely_m wet_p. It was n't totally_m dry_p.,adj,abs
It was n't completely_m wet_p. It was n't completely_m dry_p.,adj,abs
It was n't completely_m wet_p. It was n't totally_m dry_p.,adj,abs
It was n't completely_m wet_p. It was n't dry_p.,adj,abs
It was n't totally_m wet_p. It was not extremely_m dry_p.,adj,abs
It was n't totally_m wet_p. It was not ridiculously_m dry_p.,adj,abs
It was n't totally_m wet_p. It was not completely_m dry_p.,adj,abs
It was n't totally_m wet_p. It was not totally_m dry_p.,adj,abs
It was n't totally_m wet_p. It was not completely_m dry_p.,adj,abs
It was n't totally_m wet_p. It was not totally_m dry_p.,adj,abs
It was n't totally_m wet_p. It was not dry_p.,adj,abs
It was n't totally_m wet_p. It was n't extremely_m dry_p.,adj,abs
It was n't totally_m wet_p. It was n't ridiculously_m dry_p.,adj,abs
It was n't totally_m wet_p. It was n't completely_m dry_p.,adj,abs
It was n't totally_m wet_p. It was n't totally_m dry_p.,adj,abs
It was n't totally_m wet_p. It was n't completely_m dry_p.,adj,abs
It was n't totally_m wet_p. It was n't totally_m dry_p.,adj,abs
It was n't totally_m wet_p. It was n't dry_p.,adj,abs
It was n't wet_p. It was not extremely_m dry_p.,adj,abs
It was n't wet_p. It was not ridiculously_m dry_p.,adj,abs
It was n't wet_p. It was not completely_m dry_p.,adj,abs
It was n't wet_p. It was not totally_m dry_p.,adj,abs
It was n't wet_p. It was not completely_m dry_p.,adj,abs
It was n't wet_p. It was not totally_m dry_p.,adj,abs
It was n't wet_p. It was not dry_p.,adj,abs
It was n't wet_p. It was n't extremely_m dry_p.,adj,abs
It was n't wet_p. It was n't ridiculously_m dry_p.,adj,abs
It was n't wet_p. It was n't completely_m dry_p.,adj,abs
It was n't wet_p. It was n't totally_m dry_p.,adj,abs
It was n't wet_p. It was n't completely_m dry_p.,adj,abs
It was n't wet_p. It was n't totally_m dry_p.,adj,abs
It was n't wet_p. It was n't dry_p.,adj,abs
It was not extremely_m wet_p. It was kinda_m wet_p.,adj,abs
It was not extremely_m wet_p. It was sorta_m wet_p.,adj,abs
It was not extremely_m wet_p. It was slightly_m wet_p.,adj,abs
It was not extremely_m wet_p. It was partially_m wet_p.,adj,abs
It was not extremely_m wet_p. It was slightly_m wet_p.,adj,abs
It was not extremely_m wet_p. It was partially_m wet_p.,adj,abs
It was not ridiculously_m wet_p. It was kinda_m wet_p.,adj,abs
It was not ridiculously_m wet_p. It was sorta_m wet_p.,adj,abs
It was not ridiculously_m wet_p. It was slightly_m wet_p.,adj,abs
It was not ridiculously_m wet_p. It was partially_m wet_p.,adj,abs
It was not ridiculously_m wet_p. It was slightly_m wet_p.,adj,abs
It was not ridiculously_m wet_p. It was partially_m wet_p.,adj,abs
It was not completely_m wet_p. It was kinda_m wet_p.,adj,abs
It was not completely_m wet_p. It was sorta_m wet_p.,adj,abs
It was not completely_m wet_p. It was slightly_m wet_p.,adj,abs
It was not completely_m wet_p. It was partially_m wet_p.,adj,abs
It was not completely_m wet_p. It was slightly_m wet_p.,adj,abs
It was not completely_m wet_p. It was partially_m wet_p.,adj,abs
It was not totally_m wet_p. It was kinda_m wet_p.,adj,abs
It was not totally_m wet_p. It was sorta_m wet_p.,adj,abs
It was not totally_m wet_p. It was slightly_m wet_p.,adj,abs
It was not totally_m wet_p. It was partially_m wet_p.,adj,abs
It was not totally_m wet_p. It was slightly_m wet_p.,adj,abs
It was not totally_m wet_p. It was partially_m wet_p.,adj,abs
It was not completely_m wet_p. It was kinda_m wet_p.,adj,abs
It was not completely_m wet_p. It was sorta_m wet_p.,adj,abs
It was not completely_m wet_p. It was slightly_m wet_p.,adj,abs
It was not completely_m wet_p. It was partially_m wet_p.,adj,abs
It was not completely_m wet_p. It was slightly_m wet_p.,adj,abs
It was not completely_m wet_p. It was partially_m wet_p.,adj,abs
It was not totally_m wet_p. It was kinda_m wet_p.,adj,abs
It was not totally_m wet_p. It was sorta_m wet_p.,adj,abs
It was not totally_m wet_p. It was slightly_m wet_p.,adj,abs
It was not totally_m wet_p. It was partially_m wet_p.,adj,abs
It was not totally_m wet_p. It was slightly_m wet_p.,adj,abs
It was not totally_m wet_p. It was partially_m wet_p.,adj,abs
It was n't extremely_m wet_p. It was kinda_m wet_p.,adj,abs
It was n't extremely_m wet_p. It was sorta_m wet_p.,adj,abs
It was n't extremely_m wet_p. It was slightly_m wet_p.,adj,abs
It was n't extremely_m wet_p. It was partially_m wet_p.,adj,abs
It was n't extremely_m wet_p. It was slightly_m wet_p.,adj,abs
It was n't extremely_m wet_p. It was partially_m wet_p.,adj,abs
It was n't ridiculously_m wet_p. It was kinda_m wet_p.,adj,abs
It was n't ridiculously_m wet_p. It was sorta_m wet_p.,adj,abs
It was n't ridiculously_m wet_p. It was slightly_m wet_p.,adj,abs
It was n't ridiculously_m wet_p. It was partially_m wet_p.,adj,abs
It was n't ridiculously_m wet_p. It was slightly_m wet_p.,adj,abs
It was n't ridiculously_m wet_p. It was partially_m wet_p.,adj,abs
It was n't completely_m wet_p. It was kinda_m wet_p.,adj,abs
It was n't completely_m wet_p. It was sorta_m wet_p.,adj,abs
It was n't completely_m wet_p. It was slightly_m wet_p.,adj,abs
It was n't completely_m wet_p. It was partially_m wet_p.,adj,abs
It was n't completely_m wet_p. It was slightly_m wet_p.,adj,abs
It was n't completely_m wet_p. It was partially_m wet_p.,adj,abs
It was n't totally_m wet_p. It was kinda_m wet_p.,adj,abs
It was n't totally_m wet_p. It was sorta_m wet_p.,adj,abs
It was n't totally_m wet_p. It was slightly_m wet_p.,adj,abs
It was n't totally_m wet_p. It was partially_m wet_p.,adj,abs
It was n't totally_m wet_p. It was slightly_m wet_p.,adj,abs
It was n't totally_m wet_p. It was partially_m wet_p.,adj,abs
It was n't completely_m wet_p. It was kinda_m wet_p.,adj,abs
It was n't completely_m wet_p. It was sorta_m wet_p.,adj,abs
It was n't completely_m wet_p. It was slightly_m wet_p.,adj,abs
It was n't completely_m wet_p. It was partially_m wet_p.,adj,abs
It was n't completely_m wet_p. It was slightly_m wet_p.,adj,abs
It was n't completely_m wet_p. It was partially_m wet_p.,adj,abs
It was n't totally_m wet_p. It was kinda_m wet_p.,adj,abs
It was n't totally_m wet_p. It was sorta_m wet_p.,adj,abs
It was n't totally_m wet_p. It was slightly_m wet_p.,adj,abs
It was n't totally_m wet_p. It was partially_m wet_p.,adj,abs
It was n't totally_m wet_p. It was slightly_m wet_p.,adj,abs
It was n't totally_m wet_p. It was partially_m wet_p.,adj,abs
It was kinda_m wet_p. It was not extremely_m wet_p.,adj,abs
It was kinda_m wet_p. It was not ridiculously_m wet_p.,adj,abs
It was kinda_m wet_p. It was not completely_m wet_p.,adj,abs
It was kinda_m wet_p. It was not totally_m wet_p.,adj,abs
It was kinda_m wet_p. It was not completely_m wet_p.,adj,abs
It was kinda_m wet_p. It was not totally_m wet_p.,adj,abs
It was kinda_m wet_p. It was n't extremely_m wet_p.,adj,abs
It was kinda_m wet_p. It was n't ridiculously_m wet_p.,adj,abs
It was kinda_m wet_p. It was n't completely_m wet_p.,adj,abs
It was kinda_m wet_p. It was n't totally_m wet_p.,adj,abs
It was kinda_m wet_p. It was n't completely_m wet_p.,adj,abs
It was kinda_m wet_p. It was n't totally_m wet_p.,adj,abs
It was sorta_m wet_p. It was not extremely_m wet_p.,adj,abs
It was sorta_m wet_p. It was not ridiculously_m wet_p.,adj,abs
It was sorta_m wet_p. It was not completely_m wet_p.,adj,abs
It was sorta_m wet_p. It was not totally_m wet_p.,adj,abs
It was sorta_m wet_p. It was not completely_m wet_p.,adj,abs
It was sorta_m wet_p. It was not totally_m wet_p.,adj,abs
It was sorta_m wet_p. It was n't extremely_m wet_p.,adj,abs
It was sorta_m wet_p. It was n't ridiculously_m wet_p.,adj,abs
It was sorta_m wet_p. It was n't completely_m wet_p.,adj,abs
It was sorta_m wet_p. It was n't totally_m wet_p.,adj,abs
It was sorta_m wet_p. It was n't completely_m wet_p.,adj,abs
It was sorta_m wet_p. It was n't totally_m wet_p.,adj,abs
It was slightly_m wet_p. It was not extremely_m wet_p.,adj,abs
It was slightly_m wet_p. It was not ridiculously_m wet_p.,adj,abs
It was slightly_m wet_p. It was not completely_m wet_p.,adj,abs
It was slightly_m wet_p. It was not totally_m wet_p.,adj,abs
It was slightly_m wet_p. It was not completely_m wet_p.,adj,abs
It was slightly_m wet_p. It was not totally_m wet_p.,adj,abs
It was slightly_m wet_p. It was n't extremely_m wet_p.,adj,abs
It was slightly_m wet_p. It was n't ridiculously_m wet_p.,adj,abs
It was slightly_m wet_p. It was n't completely_m wet_p.,adj,abs
It was slightly_m wet_p. It was n't totally_m wet_p.,adj,abs
It was slightly_m wet_p. It was n't completely_m wet_p.,adj,abs
It was slightly_m wet_p. It was n't totally_m wet_p.,adj,abs
It was partially_m wet_p. It was not extremely_m wet_p.,adj,abs
It was partially_m wet_p. It was not ridiculously_m wet_p.,adj,abs
It was partially_m wet_p. It was not completely_m wet_p.,adj,abs
It was partially_m wet_p. It was not totally_m wet_p.,adj,abs
It was partially_m wet_p. It was not completely_m wet_p.,adj,abs
It was partially_m wet_p. It was not totally_m wet_p.,adj,abs
It was partially_m wet_p. It was n't extremely_m wet_p.,adj,abs
It was partially_m wet_p. It was n't ridiculously_m wet_p.,adj,abs
It was partially_m wet_p. It was n't completely_m wet_p.,adj,abs
It was partially_m wet_p. It was n't totally_m wet_p.,adj,abs
It was partially_m wet_p. It was n't completely_m wet_p.,adj,abs
It was partially_m wet_p. It was n't totally_m wet_p.,adj,abs
It was slightly_m wet_p. It was not extremely_m wet_p.,adj,abs
It was slightly_m wet_p. It was not ridiculously_m wet_p.,adj,abs
It was slightly_m wet_p. It was not completely_m wet_p.,adj,abs
It was slightly_m wet_p. It was not totally_m wet_p.,adj,abs
It was slightly_m wet_p. It was not completely_m wet_p.,adj,abs
It was slightly_m wet_p. It was not totally_m wet_p.,adj,abs
It was slightly_m wet_p. It was n't extremely_m wet_p.,adj,abs
It was slightly_m wet_p. It was n't ridiculously_m wet_p.,adj,abs
It was slightly_m wet_p. It was n't completely_m wet_p.,adj,abs
It was slightly_m wet_p. It was n't totally_m wet_p.,adj,abs
It was slightly_m wet_p. It was n't completely_m wet_p.,adj,abs
It was slightly_m wet_p. It was n't totally_m wet_p.,adj,abs
It was partially_m wet_p. It was not extremely_m wet_p.,adj,abs
It was partially_m wet_p. It was not ridiculously_m wet_p.,adj,abs
It was partially_m wet_p. It was not completely_m wet_p.,adj,abs
It was partially_m wet_p. It was not totally_m wet_p.,adj,abs
It was partially_m wet_p. It was not completely_m wet_p.,adj,abs
It was partially_m wet_p. It was not totally_m wet_p.,adj,abs
It was partially_m wet_p. It was n't extremely_m wet_p.,adj,abs
It was partially_m wet_p. It was n't ridiculously_m wet_p.,adj,abs
It was partially_m wet_p. It was n't completely_m wet_p.,adj,abs
It was partially_m wet_p. It was n't totally_m wet_p.,adj,abs
It was partially_m wet_p. It was n't completely_m wet_p.,adj,abs
It was partially_m wet_p. It was n't totally_m wet_p.,adj,abs
It was kinda_m wet_p. It was not extremely_m wet_p but it was not dry_p either.,adj,abs
It was kinda_m wet_p. It was not extremely_m wet_p but it was n't dry_p either.,adj,abs
It was kinda_m wet_p. It was not ridiculously_m wet_p but it was not dry_p either.,adj,abs
It was kinda_m wet_p. It was not ridiculously_m wet_p but it was n't dry_p either.,adj,abs
It was kinda_m wet_p. It was not completely_m wet_p but it was not dry_p either.,adj,abs
It was kinda_m wet_p. It was not completely_m wet_p but it was n't dry_p either.,adj,abs
It was kinda_m wet_p. It was not totally_m wet_p but it was not dry_p either.,adj,abs
It was kinda_m wet_p. It was not totally_m wet_p but it was n't dry_p either.,adj,abs
It was kinda_m wet_p. It was not completely_m wet_p but it was not dry_p either.,adj,abs
It was kinda_m wet_p. It was not completely_m wet_p but it was n't dry_p either.,adj,abs
It was kinda_m wet_p. It was not totally_m wet_p but it was not dry_p either.,adj,abs
It was kinda_m wet_p. It was not totally_m wet_p but it was n't dry_p either.,adj,abs
It was kinda_m wet_p. It was n't extremely_m wet_p but it was not dry_p either.,adj,abs
It was kinda_m wet_p. It was n't extremely_m wet_p but it was n't dry_p either.,adj,abs
It was kinda_m wet_p. It was n't ridiculously_m wet_p but it was not dry_p either.,adj,abs
It was kinda_m wet_p. It was n't ridiculously_m wet_p but it was n't dry_p either.,adj,abs
It was kinda_m wet_p. It was n't completely_m wet_p but it was not dry_p either.,adj,abs
It was kinda_m wet_p. It was n't completely_m wet_p but it was n't dry_p either.,adj,abs
It was kinda_m wet_p. It was n't totally_m wet_p but it was not dry_p either.,adj,abs
It was kinda_m wet_p. It was n't totally_m wet_p but it was n't dry_p either.,adj,abs
It was kinda_m wet_p. It was n't completely_m wet_p but it was not dry_p either.,adj,abs
It was kinda_m wet_p. It was n't completely_m wet_p but it was n't dry_p either.,adj,abs
It was kinda_m wet_p. It was n't totally_m wet_p but it was not dry_p either.,adj,abs
It was kinda_m wet_p. It was n't totally_m wet_p but it was n't dry_p either.,adj,abs
It was kinda_m wet_p. It was not dry_p but it was not extremely_m wet_p either.,adj,abs
It was kinda_m wet_p. It was not dry_p but it was not ridiculously_m wet_p either.,adj,abs
It was kinda_m wet_p. It was not dry_p but it was not completely_m wet_p either.,adj,abs
It was kinda_m wet_p. It was not dry_p but it was not totally_m wet_p either.,adj,abs
It was kinda_m wet_p. It was not dry_p but it was not completely_m wet_p either.,adj,abs
It was kinda_m wet_p. It was not dry_p but it was not totally_m wet_p either.,adj,abs
It was kinda_m wet_p. It was not dry_p but it was n't extremely_m wet_p either.,adj,abs
It was kinda_m wet_p. It was not dry_p but it was n't ridiculously_m wet_p either.,adj,abs
It was kinda_m wet_p. It was not dry_p but it was n't completely_m wet_p either.,adj,abs
It was kinda_m wet_p. It was not dry_p but it was n't totally_m wet_p either.,adj,abs
It was kinda_m wet_p. It was not dry_p but it was n't completely_m wet_p either.,adj,abs
It was kinda_m wet_p. It was not dry_p but it was n't totally_m wet_p either.,adj,abs
It was kinda_m wet_p. It was n't dry_p but it was not extremely_m wet_p either.,adj,abs
It was kinda_m wet_p. It was n't dry_p but it was not ridiculously_m wet_p either.,adj,abs
It was kinda_m wet_p. It was n't dry_p but it was not completely_m wet_p either.,adj,abs
It was kinda_m wet_p. It was n't dry_p but it was not totally_m wet_p either.,adj,abs
It was kinda_m wet_p. It was n't dry_p but it was not completely_m wet_p either.,adj,abs
It was kinda_m wet_p. It was n't dry_p but it was not totally_m wet_p either.,adj,abs
It was kinda_m wet_p. It was n't dry_p but it was n't extremely_m wet_p either.,adj,abs
It was kinda_m wet_p. It was n't dry_p but it was n't ridiculously_m wet_p either.,adj,abs
It was kinda_m wet_p. It was n't dry_p but it was n't completely_m wet_p either.,adj,abs
It was kinda_m wet_p. It was n't dry_p but it was n't totally_m wet_p either.,adj,abs
It was kinda_m wet_p. It was n't dry_p but it was n't completely_m wet_p either.,adj,abs
It was kinda_m wet_p. It was n't dry_p but it was n't totally_m wet_p either.,adj,abs
It was sorta_m wet_p. It was not extremely_m wet_p but it was not dry_p either.,adj,abs
It was sorta_m wet_p. It was not extremely_m wet_p but it was n't dry_p either.,adj,abs
It was sorta_m wet_p. It was not ridiculously_m wet_p but it was not dry_p either.,adj,abs
It was sorta_m wet_p. It was not ridiculously_m wet_p but it was n't dry_p either.,adj,abs
It was sorta_m wet_p. It was not completely_m wet_p but it was not dry_p either.,adj,abs
It was sorta_m wet_p. It was not completely_m wet_p but it was n't dry_p either.,adj,abs
It was sorta_m wet_p. It was not totally_m wet_p but it was not dry_p either.,adj,abs
It was sorta_m wet_p. It was not totally_m wet_p but it was n't dry_p either.,adj,abs
It was sorta_m wet_p. It was not completely_m wet_p but it was not dry_p either.,adj,abs
It was sorta_m wet_p. It was not completely_m wet_p but it was n't dry_p either.,adj,abs
It was sorta_m wet_p. It was not totally_m wet_p but it was not dry_p either.,adj,abs
It was sorta_m wet_p. It was not totally_m wet_p but it was n't dry_p either.,adj,abs
It was sorta_m wet_p. It was n't extremely_m wet_p but it was not dry_p either.,adj,abs
It was sorta_m wet_p. It was n't extremely_m wet_p but it was n't dry_p either.,adj,abs
It was sorta_m wet_p. It was n't ridiculously_m wet_p but it was not dry_p either.,adj,abs
It was sorta_m wet_p. It was n't ridiculously_m wet_p but it was n't dry_p either.,adj,abs
It was sorta_m wet_p. It was n't completely_m wet_p but it was not dry_p either.,adj,abs
It was sorta_m wet_p. It was n't completely_m wet_p but it was n't dry_p either.,adj,abs
It was sorta_m wet_p. It was n't totally_m wet_p but it was not dry_p either.,adj,abs
It was sorta_m wet_p. It was n't totally_m wet_p but it was n't dry_p either.,adj,abs
It was sorta_m wet_p. It was n't completely_m wet_p but it was not dry_p either.,adj,abs
It was sorta_m wet_p. It was n't completely_m wet_p but it was n't dry_p either.,adj,abs
It was sorta_m wet_p. It was n't totally_m wet_p but it was not dry_p either.,adj,abs
It was sorta_m wet_p. It was n't totally_m wet_p but it was n't dry_p either.,adj,abs
It was sorta_m wet_p. It was not dry_p but it was not extremely_m wet_p either.,adj,abs
It was sorta_m wet_p. It was not dry_p but it was not ridiculously_m wet_p either.,adj,abs
It was sorta_m wet_p. It was not dry_p but it was not completely_m wet_p either.,adj,abs
It was sorta_m wet_p. It was not dry_p but it was not totally_m wet_p either.,adj,abs
It was sorta_m wet_p. It was not dry_p but it was not completely_m wet_p either.,adj,abs
It was sorta_m wet_p. It was not dry_p but it was not totally_m wet_p either.,adj,abs
It was sorta_m wet_p. It was not dry_p but it was n't extremely_m wet_p either.,adj,abs
It was sorta_m wet_p. It was not dry_p but it was n't ridiculously_m wet_p either.,adj,abs
It was sorta_m wet_p. It was not dry_p but it was n't completely_m wet_p either.,adj,abs
It was sorta_m wet_p. It was not dry_p but it was n't totally_m wet_p either.,adj,abs
It was sorta_m wet_p. It was not dry_p but it was n't completely_m wet_p either.,adj,abs
It was sorta_m wet_p. It was not dry_p but it was n't totally_m wet_p either.,adj,abs
It was sorta_m wet_p. It was n't dry_p but it was not extremely_m wet_p either.,adj,abs
It was sorta_m wet_p. It was n't dry_p but it was not ridiculously_m wet_p either.,adj,abs
It was sorta_m wet_p. It was n't dry_p but it was not completely_m wet_p either.,adj,abs
It was sorta_m wet_p. It was n't dry_p but it was not totally_m wet_p either.,adj,abs
It was sorta_m wet_p. It was n't dry_p but it was not completely_m wet_p either.,adj,abs
It was sorta_m wet_p. It was n't dry_p but it was not totally_m wet_p either.,adj,abs
It was sorta_m wet_p. It was n't dry_p but it was n't extremely_m wet_p either.,adj,abs
It was sorta_m wet_p. It was n't dry_p but it was n't ridiculously_m wet_p either.,adj,abs
It was sorta_m wet_p. It was n't dry_p but it was n't completely_m wet_p either.,adj,abs
It was sorta_m wet_p. It was n't dry_p but it was n't totally_m wet_p either.,adj,abs
It was sorta_m wet_p. It was n't dry_p but it was n't completely_m wet_p either.,adj,abs
It was sorta_m wet_p. It was n't dry_p but it was n't totally_m wet_p either.,adj,abs
It was slightly_m wet_p. It was not extremely_m wet_p but it was not dry_p either.,adj,abs
It was slightly_m wet_p. It was not extremely_m wet_p but it was n't dry_p either.,adj,abs
It was slightly_m wet_p. It was not ridiculously_m wet_p but it was not dry_p either.,adj,abs
It was slightly_m wet_p. It was not ridiculously_m wet_p but it was n't dry_p either.,adj,abs
It was slightly_m wet_p. It was not completely_m wet_p but it was not dry_p either.,adj,abs
It was slightly_m wet_p. It was not completely_m wet_p but it was n't dry_p either.,adj,abs
It was slightly_m wet_p. It was not totally_m wet_p but it was not dry_p either.,adj,abs
It was slightly_m wet_p. It was not totally_m wet_p but it was n't dry_p either.,adj,abs
It was slightly_m wet_p. It was not completely_m wet_p but it was not dry_p either.,adj,abs
It was slightly_m wet_p. It was not completely_m wet_p but it was n't dry_p either.,adj,abs
It was slightly_m wet_p. It was not totally_m wet_p but it was not dry_p either.,adj,abs
It was slightly_m wet_p. It was not totally_m wet_p but it was n't dry_p either.,adj,abs
It was slightly_m wet_p. It was n't extremely_m wet_p but it was not dry_p either.,adj,abs
It was slightly_m wet_p. It was n't extremely_m wet_p but it was n't dry_p either.,adj,abs
It was slightly_m wet_p. It was n't ridiculously_m wet_p but it was not dry_p either.,adj,abs
It was slightly_m wet_p. It was n't ridiculously_m wet_p but it was n't dry_p either.,adj,abs
It was slightly_m wet_p. It was n't completely_m wet_p but it was not dry_p either.,adj,abs
It was slightly_m wet_p. It was n't completely_m wet_p but it was n't dry_p either.,adj,abs
It was slightly_m wet_p. It was n't totally_m wet_p but it was not dry_p either.,adj,abs
It was slightly_m wet_p. It was n't totally_m wet_p but it was n't dry_p either.,adj,abs
It was slightly_m wet_p. It was n't completely_m wet_p but it was not dry_p either.,adj,abs
It was slightly_m wet_p. It was n't completely_m wet_p but it was n't dry_p either.,adj,abs
It was slightly_m wet_p. It was n't totally_m wet_p but it was not dry_p either.,adj,abs
It was slightly_m wet_p. It was n't totally_m wet_p but it was n't dry_p either.,adj,abs
It was slightly_m wet_p. It was not dry_p but it was not extremely_m wet_p either.,adj,abs
It was slightly_m wet_p. It was not dry_p but it was not ridiculously_m wet_p either.,adj,abs
It was slightly_m wet_p. It was not dry_p but it was not completely_m wet_p either.,adj,abs
It was slightly_m wet_p. It was not dry_p but it was not totally_m wet_p either.,adj,abs
It was slightly_m wet_p. It was not dry_p but it was not completely_m wet_p either.,adj,abs
It was slightly_m wet_p. It was not dry_p but it was not totally_m wet_p either.,adj,abs
It was slightly_m wet_p. It was not dry_p but it was n't extremely_m wet_p either.,adj,abs
It was slightly_m wet_p. It was not dry_p but it was n't ridiculously_m wet_p either.,adj,abs
It was slightly_m wet_p. It was not dry_p but it was n't completely_m wet_p either.,adj,abs
It was slightly_m wet_p. It was not dry_p but it was n't totally_m wet_p either.,adj,abs
It was slightly_m wet_p. It was not dry_p but it was n't completely_m wet_p either.,adj,abs
It was slightly_m wet_p. It was not dry_p but it was n't totally_m wet_p either.,adj,abs
It was slightly_m wet_p. It was n't dry_p but it was not extremely_m wet_p either.,adj,abs
It was slightly_m wet_p. It was n't dry_p but it was not ridiculously_m wet_p either.,adj,abs
It was slightly_m wet_p. It was n't dry_p but it was not completely_m wet_p either.,adj,abs
It was slightly_m wet_p. It was n't dry_p but it was not totally_m wet_p either.,adj,abs
It was slightly_m wet_p. It was n't dry_p but it was not completely_m wet_p either.,adj,abs
It was slightly_m wet_p. It was n't dry_p but it was not totally_m wet_p either.,adj,abs
It was slightly_m wet_p. It was n't dry_p but it was n't extremely_m wet_p either.,adj,abs
It was slightly_m wet_p. It was n't dry_p but it was n't ridiculously_m wet_p either.,adj,abs
It was slightly_m wet_p. It was n't dry_p but it was n't completely_m wet_p either.,adj,abs
It was slightly_m wet_p. It was n't dry_p but it was n't totally_m wet_p either.,adj,abs
It was slightly_m wet_p. It was n't dry_p but it was n't completely_m wet_p either.,adj,abs
It was slightly_m wet_p. It was n't dry_p but it was n't totally_m wet_p either.,adj,abs
It was partially_m wet_p. It was not extremely_m wet_p but it was not dry_p either.,adj,abs
It was partially_m wet_p. It was not extremely_m wet_p but it was n't dry_p either.,adj,abs
It was partially_m wet_p. It was not ridiculously_m wet_p but it was not dry_p either.,adj,abs
It was partially_m wet_p. It was not ridiculously_m wet_p but it was n't dry_p either.,adj,abs
It was partially_m wet_p. It was not completely_m wet_p but it was not dry_p either.,adj,abs
It was partially_m wet_p. It was not completely_m wet_p but it was n't dry_p either.,adj,abs
It was partially_m wet_p. It was not totally_m wet_p but it was not dry_p either.,adj,abs
It was partially_m wet_p. It was not totally_m wet_p but it was n't dry_p either.,adj,abs
It was partially_m wet_p. It was not completely_m wet_p but it was not dry_p either.,adj,abs
It was partially_m wet_p. It was not completely_m wet_p but it was n't dry_p either.,adj,abs
It was partially_m wet_p. It was not totally_m wet_p but it was not dry_p either.,adj,abs
It was partially_m wet_p. It was not totally_m wet_p but it was n't dry_p either.,adj,abs
It was partially_m wet_p. It was n't extremely_m wet_p but it was not dry_p either.,adj,abs
It was partially_m wet_p. It was n't extremely_m wet_p but it was n't dry_p either.,adj,abs
It was partially_m wet_p. It was n't ridiculously_m wet_p but it was not dry_p either.,adj,abs
It was partially_m wet_p. It was n't ridiculously_m wet_p but it was n't dry_p either.,adj,abs
It was partially_m wet_p. It was n't completely_m wet_p but it was not dry_p either.,adj,abs
It was partially_m wet_p. It was n't completely_m wet_p but it was n't dry_p either.,adj,abs
It was partially_m wet_p. It was n't totally_m wet_p but it was not dry_p either.,adj,abs
It was partially_m wet_p. It was n't totally_m wet_p but it was n't dry_p either.,adj,abs
It was partially_m wet_p. It was n't completely_m wet_p but it was not dry_p either.,adj,abs
It was partially_m wet_p. It was n't completely_m wet_p but it was n't dry_p either.,adj,abs
It was partially_m wet_p. It was n't totally_m wet_p but it was not dry_p either.,adj,abs
It was partially_m wet_p. It was n't totally_m wet_p but it was n't dry_p either.,adj,abs
It was partially_m wet_p. It was not dry_p but it was not extremely_m wet_p either.,adj,abs
It was partially_m wet_p. It was not dry_p but it was not ridiculously_m wet_p either.,adj,abs
It was partially_m wet_p. It was not dry_p but it was not completely_m wet_p either.,adj,abs
It was partially_m wet_p. It was not dry_p but it was not totally_m wet_p either.,adj,abs
It was partially_m wet_p. It was not dry_p but it was not completely_m wet_p either.,adj,abs
It was partially_m wet_p. It was not dry_p but it was not totally_m wet_p either.,adj,abs
It was partially_m wet_p. It was not dry_p but it was n't extremely_m wet_p either.,adj,abs
It was partially_m wet_p. It was not dry_p but it was n't ridiculously_m wet_p either.,adj,abs
It was partially_m wet_p. It was not dry_p but it was n't completely_m wet_p either.,adj,abs
It was partially_m wet_p. It was not dry_p but it was n't totally_m wet_p either.,adj,abs
It was partially_m wet_p. It was not dry_p but it was n't completely_m wet_p either.,adj,abs
It was partially_m wet_p. It was not dry_p but it was n't totally_m wet_p either.,adj,abs
It was partially_m wet_p. It was n't dry_p but it was not extremely_m wet_p either.,adj,abs
It was partially_m wet_p. It was n't dry_p but it was not ridiculously_m wet_p either.,adj,abs
It was partially_m wet_p. It was n't dry_p but it was not completely_m wet_p either.,adj,abs
It was partially_m wet_p. It was n't dry_p but it was not totally_m wet_p either.,adj,abs
It was partially_m wet_p. It was n't dry_p but it was not completely_m wet_p either.,adj,abs
It was partially_m wet_p. It was n't dry_p but it was not totally_m wet_p either.,adj,abs
